bin,doitt_id,created_date,last_edited_date,planimetrics_height
5159562,1291078,2019-10-31,2019-12-05,35.48014087
5171739,1288567,2019-03-04,2019-08-16,11.16190612
5169164,1276228,,2017-08-10,10.96169853
5144501,1281389,2017-06-28,2017-08-17,11.34616708
5171653,1294463,2021-05-15,2021-05-21,44.04040731
5170180,1282505,2017-10-03,2018-12-07,32.8517481
5169215,1276822,,2017-08-10,12.71196156
5171652,1292922,2020-08-20,2022-08-29,60.80281536
5169201,1292161,2020-02-26,2020-02-26,25.47168686
5164384,1287487,2018-10-29,2018-10-29,17.77470167
5169496,1287979,2018-12-11,2021-10-20,42.13059856
5167676,1288716,2019-03-14,2019-08-16,8.62451496
5168749,1287980,2018-12-11,2021-10-20,42.10765875
5171479,1286030,2018-08-08,2018-12-24,34.39246463
5069635,1286552,2018-09-05,2018-09-05,17.25
5170825,1292807,2020-08-07,2020-08-07,27.23029739
5169147,1285586,2018-07-09,2018-07-09,12.25909024
5174839,1292892,2020-08-14,2020-09-16,31.00702648
