BIN,height_roof,update,delta
5159141,0,35,35
5159143,0,35,35
5159206,0,35,35
5159316,0,35,35
5164373,0,35,35
5164389,0,35,35
5164395,0,35,35
5164578,0,35,35
5164888,0,35,35
5165091,0,35,35
5165223,0,35,35
5166302,0,35,35
5166395,0,35,35
5166474,0,35,35
5166475,0,35,35
5166476,0,35,35
5166477,0,35,35
5166480,0,35,35
5166481,0,35,35
5166482,0,35,35
5166483,0,35,35
5166487,0,35,35
5166570,0,35,35
5166735,0,35,35
5166736,0,35,35
5166852,0,35,35
5166853,0,35,35
5168558,0,35,35
5169517,0,35,35
5170109,0,35,35
5170605,0,35,35
5170654,0,35,35
5171276,0,35,35
5171479,0,35,35
2127342,0,34,34
2127346,0,34,34
2127347,0,34,34
2127349,0,34,34
2127354,0,34,34
2127400,0,34,34
2127401,0,34,34
3107014,0,34,34
3209676,0,34,34
3248691,0,34,34
3421442,0,34,34
3421443,0,34,34
3421444,0,34,34
3422315,0,34,34
3426487,0,34,34
4101419,0,34,34
4121665,0,34,34
4134721,0,34,34
4136690,0,34,34
4139048,0,34,34
4162299,0,34,34
4541820,0,34,34
4541822,0,34,34
4543143,0,34,34
4543144,0,34,34
4578296,0,34,34
4595489,0,34,34
4595490,0,34,34
4595505,0,34,34
4595811,0,34,34
4607388,0,34,34
4607400,0,34,34
4607461,0,34,34
4607574,0,34,34
4614394,0,34,34
4615641,0,34,34
4615642,0,34,34
4615643,0,34,34
4617438,0,34,34
4617440,0,34,34
4617441,0,34,34
4617442,0,34,34
4617443,0,34,34
4617444,0,34,34
4617611,0,34,34
4617614,0,34,34
4618323,0,34,34
4618811,0,34,34
4619448,0,34,34
4620154,0,34,34
4620160,0,34,34
5025360,0,34,34
5044235,0,34,34
5159012,0,34,34
5159041,0,34,34
5159086,0,34,34
5159100,0,34,34
5159101,0,34,34
5160995,0,34,34
5164128,0,34,34
5164129,0,34,34
5164375,0,34,34
5164533,0,34,34
5164534,0,34,34
5164553,0,34,34
5164555,0,34,34
5164556,0,34,34
