bin,doitt_id,created_date,last_edited_date,height_roof,planimetrics_height,height_difference
5170391,1283490,2018-01-04,2018-01-04,26.00000000,25.34843450,0.65156550
5159029,1283491,2018-01-04,2018-01-04,26.00000000,27.27823912,1.27823912
5170392,1283493,2018-01-04,2018-01-04,27.00000000,25.46904729,1.53095271
5170397,1283499,2018-01-04,2018-01-04,26.00000000,33.85593037,7.85593037
5164723,1291067,2019-10-31,2019-12-05,26.00000000,29.14560628,3.14560628
5170813,1291084,2019-10-31,2021-12-16,25.00000000,31.80675275,6.80675275
5158333,1281446,2017-07-05,2017-08-22,33.00000000,34.45499911,1.45499911
5158343,1281447,2017-07-05,2017-08-22,33.00000000,34.63708506,1.63708506
5158330,1281451,2017-07-05,2017-08-22,33.00000000,34.29770271,1.29770271
5169177,1288486,2019-02-25,2019-08-16,30.00000000,34.60340916,4.60340916
5171684,1288492,2019-02-25,2019-08-16,30.00000000,30.56894108,0.56894108
5164407,1288344,2019-02-01,2019-08-16,27.00000000,33.32304254,6.32304254
5151849,1288348,2019-02-01,2019-08-16,27.00000000,37.81127968,10.81127968
5169304,1291938,2020-01-28,2020-01-28,10.00000000,14.71739547,4.71739547
5037025,1291187,2019-11-12,2019-12-05,35.00000000,33.53736053,1.46263947
5170357,1291191,2019-11-12,2019-12-05,32.00000000,31.35835555,0.64164445
5169986,1291204,2019-11-13,2019-12-05,28.00000000,36.25211954,8.25211954
5031649,1291208,2019-11-13,2019-12-05,34.00000000,36.31044063,2.31044063
5170778,1291212,2019-11-14,2023-08-28,33.00000000,31.35341929,1.64658071
5170777,1291213,2019-11-14,2024-05-22,33.00000000,31.35341929,1.64658071
5164806,1282154,2017-09-07,2019-03-19,33.00000000,33.67855894,0.67855894
5165067,1291174,2019-11-11,2019-12-05,32.00000000,35.14968792,3.14968792
5174685,1294245,2021-04-07,2021-04-08,34.00000000,31.86278286,2.13721714
5174897,1294238,2021-04-07,2021-04-07,35.00000000,38.42060808,3.42060808
5171189,1287598,2018-11-07,2018-11-07,24.00000000,25.24540723,1.24540723
5159158,1289156,2019-04-19,2019-08-16,15.00000000,12.31124406,2.68875594
5170640,1288848,2019-03-25,2019-08-16,25.00000000,25.92803593,0.92803593
5121363,1280993,2017-05-23,2017-08-22,29.00000000,31.56560000,2.56560000
5164869,1292458,2020-05-07,2020-05-07,33.00000000,34.51301662,1.51301662
5171178,1287587,2018-11-07,2018-11-07,24.00000000,25.04469986,1.04469986
5166728,1291325,2019-11-22,2020-04-16,12.00000000,13.58524257,1.58524257
5171918,1291093,2019-11-01,2020-04-16,31.00000000,32.79071017,1.79071017
5170045,1288727,2019-03-15,2019-08-16,20.00000000,32.77286304,12.77286304
5170108,1288728,2019-03-15,2019-08-16,24.00000000,31.88548430,7.88548430
5169043,1288736,2019-03-18,2019-08-16,31.00000000,34.64892240,3.64892240
5170976,1288739,2019-03-18,2019-08-16,22.00000000,31.87855976,9.87855976
5168354,1288742,2019-03-18,2019-08-16,25.00000000,39.45991659,14.45991659
5169143,1288760,2019-03-19,2019-08-16,34.00000000,31.50239525,2.49760475
5169231,1288767,2019-03-19,2019-08-16,11.00000000,13.72715053,2.72715053
5169526,1288770,2019-03-19,2019-08-16,25.00000000,41.81652313,16.81652313
5169598,1280983,2017-05-23,2017-08-22,29.00000000,28.95203347,0.04796653
5169813,1288885,2019-03-27,2019-08-16,25.00000000,43.87702764,18.87702764
5171628,1288256,2019-01-22,2019-08-16,35.00000000,33.18803497,1.81196503
5171628,1288256,2019-01-22,2019-08-16,35.00000000,33.15383378,1.84616622
5168308,1288264,2019-01-23,2019-08-16,25.00000000,38.71910069,13.71910069
5170883,1287582,2018-11-07,2018-11-07,24.00000000,25.00596634,1.00596634
5168927,1288341,2019-02-01,2019-08-16,27.00000000,27.99746273,0.99746273
5151955,1288358,2019-02-05,2019-08-16,30.00000000,32.78260824,2.78260824
5170779,1288362,2019-02-05,2019-08-16,35.00000000,36.96955311,1.96955311
5169540,1288782,2019-03-20,2019-08-16,35.00000000,36.27811635,1.27811635
5168769,1288615,2019-03-08,2019-08-16,35.00000000,27.44291318,7.55708682
5124325,1284781,2018-05-18,2018-05-18,26.00000000,25.82050001,0.17949999
5166325,1288945,2019-04-01,2019-08-16,35.00000000,37.76819622,2.76819622
5170418,1288711,2019-03-14,2019-08-16,25.00000000,31.65687860,6.65687860
5169893,1288666,2019-03-13,2019-08-16,35.00000000,34.82232693,0.17767307
5170062,1288668,2019-03-13,2019-08-16,12.00000000,12.28771671,0.28771671
5168699,1288675,2019-03-13,2019-08-16,25.00000000,36.63146910,11.63146910
5166396,1288677,2019-03-13,2019-08-16,25.00000000,12.93641554,12.06358446
5166793,1288685,2019-03-13,2019-08-16,30.00000000,27.58150246,2.41849754
5169046,1288695,2019-03-14,2023-07-03,30.00000000,38.33732691,8.33732691
5157820,1294004,2021-02-11,2021-02-11,30.00000000,36.77675749,6.77675749
5130850,1292560,2020-06-02,2020-06-02,30.00000000,33.60409377,3.60409377
5166019,1290569,2019-09-10,2019-09-10,28.69000000,35.62515061,6.93515061
5174579,1293736,2021-01-07,2021-01-07,35.00000000,33.71374028,1.28625972
5172081,1294531,2021-05-19,2021-06-25,28.00000000,34.67925311,6.67925311
5166542,1272620,2018-05-15,2019-10-18,32.00000000,35.36162187,3.36162187
5166539,1272617,2018-05-15,2019-10-18,32.00000000,35.36162187,3.36162187
5166548,1272626,2018-05-15,2019-10-18,32.00000000,36.12718980,4.12718980
5165311,1284262,2018-03-29,2019-07-22,30.00000000,43.89361023,13.89361023
5170118,1288372,2019-02-05,2019-08-16,35.00000000,41.12642193,6.12642193
