bin,planimetrics_height,planimetrics_spot_height_calc,height_diff
4619412,24,26,2
4107006,28,31,4
4607389,33,34,2
4596387,40,46,6
4596399,41,44,4
4596291,47,48,1
4596294,46,47,1
4798014,26,7,20
4616402,45,45,1
4615283,17,14,3
4004428,36,38,2
4615646,19,0,20
4615236,19,19,1
4615235,19,1,19
4615602,20,20,1
4607253,35,36,2
4607254,33,35,2
4615073,12,12,1
4614938,19,2,18
4608537,27,34,8
4618811,34,33,1
4109931,29,30,1
4617613,35,35,1
4617614,34,35,1
4596354,44,43,1
4168452,38,39,2
4163489,30,34,4
4611191,38,38,1
4539959,65,68,4
4618324,30,33,4
4292583,26,28,2
4304427,51,51,1
4619525,12,13,1
4265187,26,28,3
4619523,14,14,1
4619530,15,8,8
4223677,87,89,3
4620015,32,32,1
4567291,33,35,2
4618541,14,20,7
4607399,23,23,1
4607449,31,32,1
4607461,34,35,2
4542666,79,79,1
4618737,42,44,2
4618741,42,44,2
4618744,42,46,4
4618750,42,47,5
4523214,18,20,2
4596561,36,39,4
4533216,33,33,1
4618543,47,50,4
4213063,37,39,3
4607377,74,73,2
4006702,62,57,5
4620153,25,25,1
4608118,32,33,1
4620462,24,24,1
4617590,32,33,1
4619686,26,31,6
4596005,28,29,1
4114969,23,25,2
4549397,22,23,2
4619849,14,19,5
4596247,21,24,4
4619448,34,32,3
4616926,38,38,1
4616910,38,38,1
4616939,38,39,1
4616959,40,40,1
4615139,25,26,2
4307666,17,18,2
4618349,184,180,5
4619542,15,15,1
4005129,116,117,1
4109436,29,33,4
4607460,25,25,1
4607446,22,23,1
4607400,34,36,2
4607386,23,23,1
4607499,32,34,3
4596393,41,45,5
4597105,13,12,1
4607422,37,37,1
4616482,20,24,5
4615243,18,-1,19
4615621,19,0,20
4607249,33,33,1
4538653,13,16,4
4458085,18,0,18
4615607,15,1,14
4531196,14,0,14
4538354,14,0,15
4615608,16,0,16
4615604,18,1,17
4607793,29,29,1
4101419,34,34,1
4543143,34,36,2
4294054,36,37,2
4617680,22,21,2
4614394,34,35,2
4595009,27,29,2
4540384,64,69,5
4596132,37,38,1
4312683,25,26,1
4004953,108,108,1
4608529,28,30,3
4618354,14,20,7
4542966,30,36,6
4615115,20,19,1
4595625,27,27,1
4619526,12,13,2
4159776,32,34,2
4050588,35,35,1
4607453,12,13,1
4307043,41,41,1
4262509,26,28,3
4542475,32,33,2
4615624,29,27,3
4055648,25,30,5
4484997,13,17,4
4616817,35,37,2
4607436,33,34,1
4607554,31,33,2
4607354,26,27,1
4618752,42,44,2
4596562,45,48,4
4619535,13,15,2
4594829,15,15,1
4617615,41,42,1
4623641,13,16,3
4620222,26,18,8
4620150,32,32,1
4044475,48,52,4
4618922,55,57,2
4546499,20,23,4
4617744,19,19,1
4619844,26,25,1
4136689,31,32,1
4597133,28,29,1
4617858,61,59,2
4617184,89,90,2
4616924,38,38,1
4616962,39,39,1
4596372,18,21,3
4618316,66,67,1
4617438,34,30,5
4543418,22,26,4
4543417,24,23,1
4541230,45,57,13
4607458,32,33,1
4607394,32,33,1
4607393,23,23,1
4596556,37,38,2
4798019,87,87,1
4597106,14,15,1
4587333,33,34,1
4594833,25,26,1
4594832,26,26,1
4607351,35,34,2
4607412,39,41,3
4528298,17,20,3
4615779,24,26,2
4615245,17,-1,19
4615242,18,-1,19
4615240,19,0,20
4615620,19,1,19
4615231,18,2,16
4607444,26,27,1
4607240,35,35,1
4607256,33,34,1
4607257,35,35,1
4458633,21,2,20
4615606,16,17,2
4597303,87,87,1
4615282,33,32,1
4529866,25,17,9
4044745,43,45,3
4607928,42,47,6
4594866,43,35,8
4578296,34,36,2
4008506,37,36,1
4596251,25,26,1
4619533,13,15,2
4113936,43,45,2
4602521,64,67,3
